,note,associated_genders,text,id
58,honour or achievement held by man,Masculine,"['first class honours degree', 'first class honours', 'distinction', 'Companion of Honour', 'Honorary DD degree', 'Honourable Mention', 'Chaplain to the King', 'Honorary DD degree certificate', 'OBE', 'Baillie Room', 'Companion of Honour', 'honorary degree', 'Honorary DD degree', 'Honorary DD', 'honorary degrees', 'Companion of Honour', 'Honorary DD', 'Fellow of the Royal Society of Edinburgh', 'OBE', 'KBE', 'Fellow of the Royal Scottish Society of Arts', 'Fellow of the Royal Society of Edinburgh', 'Honorary Librarian', 'Honorary Librarian', 'Honorary Librarian', 'Honorary Librarian', 'Honorary Librarian', 'Order of the Star of Sarawak', 'Honorary Secretary', 'University Librarian Emeritus', 'mathematical prize and scholarship', 'Fellow of the Society of Antiquaries', 'Fellow of the Royal Society', 'master of mechanics', 'honorary conductor', 'Junior Research Fellowship', 'Fellow Emeritus', 'Knight Commander', 'Knight Commander of the Star of India', 'C.B.', 'K.B.E.', 'K.C.I.E', 'K.C.I.E.', 'Fellowship of the Royal Society', 'Sir Thomas Middleton Memorial Trust and Lecture', 'Royal Commission on Agriculture', 'C.B.', 'Knight Commander of the Order of the British Empire', 'Knight Commander of the Indian Empire', 'Master of the Household', 'Vasa Order', 'First Class Honours in Geology', 'Fellow of the Poultry Science Association', 'Tom Newman Memorial Prize Winner', 'Robert Osborne of the Poultry Research Centre being awarded the Neill Prize', 'first class honours in Botany', 'Fellow of the Royal Society', 'knighted', 'Fellow of the Botanical Society', 'FRS', 'honorary member of the Scottish Economic Society', 'Fellow of the Edinburgh Geological Society and of the Society of Antiquaries of Scotland', 'Rector of Edinburgh University', 'first class honours', 'president of the Scottish Text Society', 'honorary president', 'fellow of the British Academy and of the Royal Society of Edinburgh', 'Reader Emeritus', 'President of the British Psychological Society', 'President of the Society for Psychical Research', 'President of Section J (Psychology) of the British Association for the Advancement of Science', '14 academic session medals (5 silver and 9 bronze) awarded to James Roland Rider', 'British War and Victory medals', 'C.B.', 'knighted', 'Junior President', 'Order of the British Empire (O.B.E.)', 'Fellow, Royal Society of Edinburgh', 'Order of the British Empire (C.B.E.', 'honorary LL.D', 'Fellow of the Royal College of Physicians of Edinburgh', 'Royal Geographical Society Prize Medal', 'Lord Meadowbank', 'knighted', 'Military Cross', 'He was created Viscount Dunrossil of Vallaquie', 'G.C.M.G', 'as chief of clan and name Morrison', 'Faculty of Law Class Merit Lists', 'Faculty of Law Class Merit Lists', 'Medals, awards and decorations of William Hunter', '1st Class)', 'Gold Medal', 'Grand Officer of the Serbian Order', 'Companion Order of the Bath (CB)', 'Fellow of the Royal College of Physicians', 'Fellow of the Royal Society of Edinburgh', 'Honorary LL.D.', 'knighted', 'President of the Royal College of Veterinary Surgeons', 'Vice-President of the Royal College of Veterinary Surgeons', 'Warden of the Worshipful Company of Farriers', 'President of the Royal College of Veterinary Surgeons', 'Emeritus Professor at Edinburgh University', 'Emeritus Professor and Honorary Fellow', 'President of the Aristotelian Society', 'Fellow of the Royal Society of Edinburgh', 'Military Cross', 'Fellow of the Royal College of Surgeons', 'Fellow of the Royal College of Physicians', 'Fellow of the Royal College of Surgeons of Edinburgh', 'Rector', 'knighted', 'Emeritus Professor of Accounting', 'Nobel-nominee', 'honorary commodore', 'honorary blue', 'Rector', 'Victoria Cross', 'He was created a Baron in 1892 and an Earl and Viscount', 'He was given a State Funeral', 'OBE', 'OBE', 'Rector of Glasgow University', 'First Class Honours degree', 'Emeritus Professor', 'Emeritus Professor of Psychology', 'United States National Academy of Sciences', 'US National Medal of Science', 'Edinburgh University medal', ""University Rector's Assessor"", 'Honorary Secretary', 'Honorary Editor', 'O.B.E.', 'Bronze Medal', 'Bronze Medal for Physiology (Second Prize)', 'Fellow of the Royal Meteorological Society', 'First Class Honours', 'Eldon Scholarship', 'Fellow of the British Academy.', 'Honorary LL.D', 'honorary degrees', 'Knight Bachelor', 'Royal Society fellowship', 'Royal Society Visiting Professorship', 'Fellow of the Royal Society of Edinburgh', 'honorary doctorate', 'honorary doctorate', 'Professor Emeritus', 'Fellow of the Royal Society of Edinburgh', 'Fellow of the British Academy', 'Medals and Honours awarded to Sir George Taylo', 'First Class Honours', 'prestigious biology prize - the Vans Dunlop Scholarship.', 'Knighted', 'many many Honours and Medals', 'Honorary Dr.Phil.', 'Honorary Doctorate', 'Fellow of the Royal Society of Edinburgh', 'Royal Society of Science', 'Fellow of the Royal Society', 'Royal College of Obstetricians and Gynaecologists', 'Fellow of the Royal Medical Society of Edinburgh', 'Edinburgh Obstetrical Society', 'knighted', 'knighted', 'Honorary Senior Lecturer', 'Surgeon to the Queen', 'CBE', 'Honorary Fellow of the Royal Australasian College of Surgeons', 'President of the Royal College of Surgeons', 'First', 'First Class Honours', 'Companion of the Order of the British Empire (OBE)', 'Fellow of the Society of Antiquaries of Scotland', 'Officer of the Order of the British Empire', 'awarded a bronze medal by the Carnegie Hero Fund', 'knighted', 'John Rylands Library', 'President of the Edinburgh Bibliographical Society', 'physician to the Prince Regent', ""Chairman of the Salvesen's Ex-Whalers Club"", 'Medals of William A. Knowles', '1st Class Honours in Mathematics', 'Rockefeller Travelling Fellowship', 'Rockefeller Foundation Studentship', 'Rockefeller Travelling Fellowship', 'Emeritus Professor of Medicine', 'Lord Lieutenant', 'Knight Commander of the Royal Victorian Order', 'Class Medal in Clinical Surgery', 'Military Cross', 'honorary fellow of the Royal Australasian and American Colleges of Surgeons', 'surgeon to His Majesty the King in Scotland', 'Knight Commander of the Royal Victorian Order', 'Baronet', 'Honorary Surgeon in Scotland to HM the King', 'first-class honours degree', 'Society of Antiquaries', 'Royal College of Physicians', 'Knighthood', 'knighthood', 'Knighthood', 'Honorary secretary', 'order of Polonia Restituta', 'knighthood', 'Sir Godfrey Thomson Court', 'Royal Arch Mason', 'Third Class of the Order of Polonia Restituta', 'Honorary Fellow of the Educational Institute of Scotland', 'foreign honorary member of the American Academy of Arts and Sciences', 'honorary member', 'Foreign Associate of the National Academy of Sciences of the United States of America', 'Honorary Fellowship of the British Psychological Society', 'Rector Emeritus', 'honorary fellow', 'knighthood', 'Knighthood', 'knighthood', 'gold medal', 'knighthood', 'Godfrey Thomson Research fund', 'military cross', 'knighthood', ""Queen's Scholarship"", 'Nobel prize', 'Summa cum Laude', 'Godfrey Thomson Unit', 'fellowship of the Royal Society of Edinburgh', 'Third Class of the Order of Polonia Restituta', 'Presidency of the British Psychological Society', 'honorary membership of the American Academy of Arts and Sciences', 'Knighthood', 'knighthood', 'Fellow of the Royal College of Physicians', 'President', 'First Class Honours degree', '1st Class Honours', 'International Academy of the History of Science', 'OBE', 'Fellowship of the Royal Society of Edinburgh', 'Fellowship of the Royal Society', 'Honorary Fellowship of the Royal Medical Society', 'honorary membership of the Generation Science Club', 'Fellowship of the Academy of Medical Sciences', 'Foreign Associate of the National Academy of Sciences', 'Fellowship of the Academy', 'Paul Ehrlich and Ludwig Darmstaedter Prize', 'honorary doctoral degree', 'honorary fellowships', 'Lord Lloyd of Kilgerran Prize', 'European Embryo Transfer Society Pioneer Award', 'OBE', 'Honorary Guest Member', 'Fellow of the Royal College of Physicians', 'President', 'President of the Royal College of Physicians', 'knighthood', 'Knight of the Polar Star', 'First Class Honours', 'Royal Medical Society of Edinburgh', 'Fellow of the Royal Medical Society', 'Fellow of the Royal Society of Edinburgh', 'OBE', 'Honorary Doctorate', 'Fellow of the British Academy', 'Fellow of the Royal Historical Society', 'Honorary Fellow of the Faculty of Actuaries', 'Emeritus Professor of Economic History', 'knighted', 'knighthood', 'Knight First Class of the Order of the White Rose of Finland', 'Albert Einstein College of Medicine', 'Fellowship', 'Nobel Prize', 'Wernerian Natural History Society', 'First Class Honours', 'honorary consultant clinical neurophysiologist', 'Fellow of the Royal Society', 'Fellow of the Royal College of Physicians', 'Fellow of the Royal College of Physicians', 'Honorary Neurophysiological Specialist', 'honorary degree', 'Fellow of the Royal Society', 'honorary degree', 'Companion of the Order of the Bath', 'Civil Knight Commander of the Bath', 'President of the Society of Legal Scholars', 'Poet Laureate', '[Cecil] Rhodes Statue', 'Victory Cross', 'wearing his medals']","[61, 178, 200, 410, 484, 1158, 1798, 1820, 1936, 2252, 2432, 2609, 2875, 3199, 3519, 3523, 3680, 4584, 4609, 4610, 4779, 4796, 5200, 5232, 5345, 5628, 5636, 5680, 5697, 5906, 5983, 5997, 5999, 6092, 6253, 6316, 6349, 8157, 13061, 13282, 13283, 13285, 13290, 13307, 13317, 13391, 13395, 13396, 13401, 13954, 13959, 14008, 14390, 14952, 15451, 21829, 21847, 21857, 22461, 22599, 22806, 22828, 22849, 22967, 23007, 23008, 23015, 23164, 23170, 23171, 23172, 23183, 23239, 23321, 23324, 23589, 23630, 23644, 23652, 23655, 23718, 23912, 24244, 24332, 24614, 24712, 24716, 24743, 24812, 24845, 24853, 24884, 24885, 24927, 24930, 24945, 24947, 24950, 25048, 25177, 25201, 25239, 25241, 25372, 25375, 25378, 25381, 25485, 25512, 25529, 25542, 25831, 25971, 26007, 26024, 26280, 26281, 26931, 26990, 26993, 27013, 27029, 27071, 27273, 27528, 27540, 27581, 27710, 27713, 27727, 27786, 27793, 27794, 27800, 28671, 28715, 28812, 28851, 28853, 28901, 28908, 28909, 28912, 30147, 30329, 30399, 30591, 30595, 30746, 30785, 30788, 30832, 30909, 30910, 30951, 30959, 30962, 30963, 30966, 30967, 30968, 31377, 31380, 31381, 31492, 31552, 32445, 32449, 32454, 32455, 32459, 32633, 32737, 32774, 32784, 32787, 32866, 32999, 33379, 33384, 33442, 33564, 33871, 33902, 33926, 33943, 33960, 33997, 34277, 34283, 34330, 34354, 34363, 34375, 34384, 34385, 34408, 34453, 34652, 35142, 35578, 35586, 35600, 35789, 35925, 35957, 35964, 35972, 35983, 35991, 35996, 36001, 36006, 36020, 36075, 37805, 38870, 39619, 39630, 40260, 40485, 40614, 40724, 40792, 40839, 40850, 40855, 40919, 40985, 40986, 40988, 40989, 40990, 41209, 41370, 41375, 41558, 41673, 41703, 41714, 43333, 43336, 43339, 43342, 43345, 43348, 43455, 43499, 43504, 43598, 43644, 43678, 43773, 43892, 44323, 44328, 44405, 44566, 44571, 44791, 44853, 44857, 44910, 44912, 44916, 44918, 44920, 44922, 44928, 45038, 45085, 45093, 45788, 46339, 46527, 46748, 48481, 48505, 48508, 48516, 48520, 48544, 49116, 49625, 49767, 49771, 49775, 49972, 50186, 51592, 53734, 53799]"
59,honour or achievement held by man,Multiple,"['Distinguished Service Awards medal', 'Honorary Sheriff', 'in memory of her late husband, James Tait Black', 'honorary member of the Association of Polish teachers', 'Ernst Schering Prize', 'who founded the southern African territory of Rhodesia, which was named after him']","[15794, 22809, 32550, 39331, 43795, 54746]"
60,honour or achievement held by woman,Multiple,['Merit in Professional Subjects'],[33245]
61,house as property of man alone,Unclear,"[""workman's home""]",[55318]
62,husband represented as the active party in marrying. alternative: mamaine and arthur' marriage,Masculine,"[""Koestler's marriage to Mamaine""]",[69898]
63,info about male family member included in woman's biography,Multiple,"['Her brother had also graduated as a doctor, and during the First World War he served on submarines. In the post-War years, John Binnie set up a medical practice in Midcalder and Susan Binnie worked for him in the practice for a short while.']",[13626]
64,"intelligent women and their choices described negatively (as a ""problem"")",Multiple,['problem'],[39709]
65,john baillie keeps records of wife's finances,Feminine,"[""He also kept details of some of Florence Jewel Baillie's finances and various sets of receipts""]",[3556]
66,"last name of man generalized, turned into an ""ian""",Unclear,['Straussian'],[11461]
67,"last name turned into a noun ""-ism"" - to reference work of a single man",Unclear,['Bouldingisms'],[25992]
68,last name turned into an -ian to refer to work of a single man,Unclear,['Keynesian'],[26029]
69,"letters to fjb about family matters, not spiritual or academic matters like her husband",Multiple,"['Letters from Mai Fowler to Florence Jewel Baillie, covering personal matters along with wider family and social ones.', 'Letters to Florence Jewel Baillie from her aunts, Mary and Sarah Fowler, covering personal, family and social matters']","[2701, 3034]"
70,"likened to a ""bad"" child has positive connotations for men (a young and successful man who does things in a way that is very different from the usual way), while for women, it has negative connotations - sexual impropriety",Multiple,['Bad boy of biology'],[64644]
71,luck personified in a female character - carries the cultural assumption that women are capricious,Multiple,['Lady Luck'],[65895]
72,male default assumption - female must be called out specifically in name of award,Multiple,['Female Championship Cup'],[58815]
73,male default assumption - woman must be called out as an owner,Feminine,['Woman Owner'],[57275]
74,male family members prioritised,Masculine,"['to William and Agnes', 'Ruth and Michael Lerner', 'eldest son of Edward Wakefield (1774-1854), philanthropist and statistician, and grandson of merchant Edward Wakefield (1750-1826) and author and philanthropist Priscilla Wakefield', 'his child', 'William and Charlotte Ledermann', 'showing descendants of Henry Brinton', 'daughter of the Oxford mathematician Edward Murray Wrong (1889-1928) and Rosalind Grace Wrong (Smith)', 'son of John Blake Penfold, a painter, and Marianne Penfold', 'son of John Berry, 3rd of Tayfield (1824-1877) and Margaret Higgins Burn-Murdoch', 'son of Alexander and Isabella Maconochie', 'Lord and Lady Meadowbank had four sons', 'one of eight sons of John Morrison of Torinturk, Argyll, and Marion Morrison', 'the daughter of James Millar Lowe, a coal agent, and Margaret Lowe', 'the son of J. Smith, DL. JP, and Agnes Smith', 'son of George William Taylor, a painter, and Jane Sloan who had been in domestic service.', 'Prince and Princess of Wales', 'John and Agnes Bartholomew', 'He was one of two sons of Colin Mackenzie Dundas', 'son of William Scott Robson and Elizabeth Hannah Watt', 'His parents were Sir Felix John Morgan Brunner (1897-1982) and Dorothea Elizabeth', 'daughter of Arthur Joseph Lawrence Pollen and Hon. Daphne Baring', 'His parents were Thomas Archibald Miller Brownlie (1879-1962) a civil engineer working in Faisalabad (now in modern Pakistan) and Jessie Forsyth Brownlie (Smith)', 'His parents were Captain J. S. Elliot RN and Magda Salvesen', 'John, Lord Mount Stuart and Elizabeth McDouall-Crichton', 'daughter of James V and Mary of Guise', 'the son of John Campbell, 1st Baron Cawdor and Lady Caroline Howard', 'Alex and Isabe']","[49, 15030, 16570, 18248, 21001, 21169, 21227, 23519, 23616, 24185, 24267, 24590, 28611, 28838, 30896, 31171, 31197, 33501, 33931, 34203, 34259, 44645, 44986, 47552, 48874, 49604, 52065]"
75,male family members prioritised,Multiple,"['the son of the Rev. Andrew Bogle (d. 1900), Minister of Callander Free Church, and Catherine Nisbet Bogle', 'he had two sons, and then secondly, after the death of Jean in 1915, to Ethel Margaret Theresa Masson in 1917 with whom he had another son', 'His great-grandfather', ""Lundholm's grandfather"", 'He was the son of Robert Baillie of Jerviswood and, through his mother Rachel, grandson of Sir Archibald Johnston of Warriston', 'She was the eldest child of Norman James Dorward and Elizabeth Haig Bruce. Her father, and his brother Adam, ran the family tweed clothing manufacturing firm', 'to William Campbell (1755-1829) and his wife Agnes (nee Riggs)', 'William Scott of Harden and his wife Elizabeth Ker', 'William Scott of Harden and his wife Elizabet Ker', 'William Scott of Harden and his wife Elizabet Ker', 'and his wife Jeanne', 'Her father was a farmer and her mother a musician', 'He was the sixth son of the Rev. Henry Erskine (1624-1696) by his second wife Margaret Halcro.', 'the son of a Parsi father and a Spanish-Sicilian mother', 'Professor Tom Pear and his wife, Catherine', 'the grandson of Donald Macdonald, of Sandside, Caithness, and was the only son of Lt-Col. William Donald MacDonald of the 93rd (Sutherland Highlanders) Regiment of Foot (1827-1862) and Miss Emma Anne Elizabeth Lindsay']","[4874, 13866, 13936, 13963, 17174, 26150, 27459, 27851, 27861, 27878, 27975, 31200, 32218, 34537, 35728, 49669]"
76,male parent listed first,Masculine,"['His parents were Goesta Lundholm, a chemist, and Dr. Agnes Barr Auchencloss']",[13922]
77,male parent listed first,Multiple,"['son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell', 'him and his wife Sheila', 'John Baillie was born in 1886, the son of Rev John Baillie ( 1829-1891), Free Church minister at Gairloch, Ross & Cromarty in the north-west of Scotland, and his wife Annie Macpherson', 'Florence Jewel Fowler was born in 1893, at Erdington, near Birmingham, the daughter of Richard Fowler, land agent & surveyor, and his wife Florence Pearse', 'John Baillie was born in 1886, the son of Rev John Baillie ( 1829-1891), Free Church minister at Gairloch, Ross & Cromarty in the north-west of Scotland, and his wife Annie Macpherson', 'father and mother (Richard and Florence Fowler)', 'the daughter of shipmaster Donald Macpherson and his wife Catherine McIntyre']","[148, 1947, 3066, 3718, 3818, 3991, 4075]"
78,man associated with leadership role,Masculine,"['leading Scottish Theologian', 'key figure', 'he was in charge of the Intelligence Department', 'key figures', 'leading British authority']","[7, 101, 13047, 14484, 77543]"
79,man associated with male-dominated disciplines,Masculine,['eleven men who were graduates in agriculture'],[59713]
80,man associated with outstanding professional achievement,Masculine,['the great novelist'],[77482]
81,man associated with outstanding professional achievement,Multiple,['probably the most distinguished'],[77584]
82,"man associated with technology, operating machinery",Masculine,"['men and machinery', 'men using a machine to press hay', 'man driving a sports car']","[58893, 59244, 76407]"
83,man associated with work and career,Masculine,"['about Thomson regarding his life, work, and career']",[39745]
84,man defined in terms of academic achievement and awards,Masculine,['awarded honorary degrees from a number of universities and colleges'],[3518]
85,man defined in terms of academic achievement and awards,Multiple,"['acquired numerous qualifications and other awards', 'amassed honourable mentions and other achievements']","[3490, 3497]"
86,"man described as the active party in marriage, while woman as passive",Multiple,"['Halliwell married the eldest daughter of Sir Thomas Phillipps', 'who he was marrying', 'e married Judith Ann Horrocks', 'he married the novelist Lisa St Aubin de Terán', 'He married a colleague of his']","[6045, 56547, 60631, 61586, 77585]"
87,man described in terms of wealth and possessions,Masculine,['richest man in Ancona'],[5023]
88,man identified with surname. first name missing - assumption that it is common knowledge,Masculine,"['Asquith', 'Ramsay Macdonald']","[56676, 56679]"
89,man listed first before woman,Multiple,"['John Baillie and Florence Jewel Fowler', 'John and Jewel Baillie', 'John and Jewel Baillie', 'John and Jewel Baillie']","[1490, 2557, 3053, 3261]"
90,man named as sole owner of property,Multiple,"[""Donald Macpherson Baillie's estate""]",[2915]
91,man referenced by last name only,Unclear,['Kantian'],[274]
92,man represented as solely responsible for the family's finances,Masculine,['his investments'],[1427]
93,man represented as solely responsible for the family's finances. alternative: details of some of florence jewel baillie's finances are also mentioned/included.,Masculine,"[""He also kept details of some of Florence Jewel Baillie's finances""]",[3555]
94,"man's first name turned into an adjective - ""ic"" - after napoleon",Unclear,['Napoleonic'],[38301]
95,"man's first name turned into an adjective - ""ic"" - after napoleon (""napoleonic"")",Unclear,['Napoleonic'],[49388]
96,man's importance described without evidence being provided for it,Unclear,['He made a major and substantial contribution'],[77426]
97,"man's last name turned into a noun - ""iana""",Unclear,['Shakesperiana'],[6098]
98,"man's last name turned into a noun - ""ism""",Unclear,['Spinozism'],[25298]
99,"man's last name turned into an adjective - ""ian"" - after abraham gottlob werner",Unclear,['Wernerian'],[46747]
100,"man's last name turned into an adjective - ""ian"" - after charles hermite",Unclear,"['Hermitian', 'Hermitian']","[36690, 37917]"
101,"man's last name turned into an adjective - ""ian"" - after gregor mendel",Unclear,['Mendelain'],[36863]
102,"man's name turned into a noun ""-ism"" - after luigi galvani",Feminine,['galvanism'],[49142]
103,"man's name turned into a noun ""-ism"" - after luigi galvani",Unclear,"['Galvanism', 'Galvanism', 'Galvanism']","[49092, 49136, 49137]"
104,"man's name turned into an adjective ""-ic"" - after luigi galvani",Feminine,['galvanic'],[49141]
105,"man's name turned into an adjective ""-ic"" - after napoleon",Unclear,['Napoleonic'],[77153]
106,man's success described without providing evidence,Masculine,['is believed to have become prominent in the field'],[61463]
107,marriage - man listed as active party,Masculine,"['he married Ellis Matthew', 'he married Dr. Sybil Monteith Dick Wood,', 'he married Renee Cameron', 'he married Mary Kynoch Macdonald', 'he married Marjorie Bennetts', 'he married Margaret Ruth Whale', 'he married Lillian Margaret Coke']","[31353, 32414, 32649, 33952, 44673, 45019, 49703]"
108,marriage - man listed as active party,Multiple,"['He married his wife', 'Brunner married Mary Rose Catherine Pollen']","[21112, 34254]"
109,marriage - man listed as active party,Unclear,"['Tom Allan married Jane Moore', 'Maconochie married Elizabeth Welwood', 'Dobbie married Jean Fulton Hamilton', 'James Campbell married Mary Combe', 'He married Ann Scott', 'Dundas married Winifred Hersey MacKenzie', 'Josiah married Joan Elizabeth Thomas (Eliza Thomas).', 'Kenrick married Isabel Witte', 'MacDonald had married Emma Lindsay']","[71, 24216, 24414, 27484, 33470, 33529, 35207, 45445, 50099]"
110,marriage - man listed as active party and woman as passive,Feminine,"['David H. Stam was married', 'He married twice', 'Eric Olof Lundholm married Dorothy Vida Henning', 'Freshwater married Nancy (Annie) Swingler', 'Sprigge married Giglia Gordon', 'Sir John married three times']","[5849, 13858, 14044, 16471, 25353, 25744]"
111,marriage - man listed as active party and woman as passive,Multiple,"['The end of that war saw his marriage to Florence Jewel Fowler and the start of his academic career.', 'In 1875 he moved to Gairloch and 10 years later married Annie Macpherson, by whom he had his sons John, Donald Macpherson and Peter', 'The end of that war saw his marriage to Florence Jewel Fowler and the start of his academic caree', 'in 1896 he married Ellen Milne McCulloch', 'Halliwell married the eldest daughter of Sir Thomas Phillipps', 'he married Elizabeth Scarth of Kirkwall', 'he married Helen Scott Brown', 'he married Grisell', 'he married Winifred Betts', 'Scott had married Heather Fretwell', 'he married Christina Struthers', 'the marriage of the Duke of Edinburgh to the Grand Duchess Marie Alexandrovna', 'William Berry married Wilhelmina Barns-Graham', 'He had married the Hon. Bride Faith Louisa Fremantle', 'he had married Emily Hopkins Haldeman', 'he married Katharine Allison Swan', 'he married Beatrice Fielden', 'he married Matilda Sinclair', 'he married Marianne Kidd', 'he had married Ann Dorothea Tindall', 'he married Frances Mary Young']","[3111, 3443, 3862, 4914, 6044, 13758, 13802, 17219, 21384, 21620, 21961, 22831, 23633, 23658, 23944, 24648, 24902, 27266, 28740, 28876, 30754]"
112,marriage described as a man's action,Masculine,['he married Judith Ann Horrocks'],[60630]
113,"marriage described as a man's possession - ""his marriage"" rather than ""married to""",Multiple,['The end of that war saw his marriage to Florence Jewel Fowler'],[3110]
114,"marriage described as though belonging to the male partner - ""his marriage"" rather than ""their marriage""",Multiple,['saw his marriage to Florence Jewel Fowler'],[3863]
115,material collected by fjb all relates to marital role and husband's work,Multiple,"['A selection of memorabilia gathered together by Florence Jewel Baillie, concerning John Baillie and their life together. Includes correspondence, press cuttings, items relating to their wedding and poetry written by John Baillie.']",[2640]
116,"materials described as relating to walter scott's life in widest sense, no mention of domestic or familial matters, only work",Masculine,"['This series contains cuttings from British newspapers that relate, in the widest possible sense, to the life and works of Sir Walter Scott']",[5486]
117,men associated with hands-on tasks,Masculine,['Practical Man'],[15981]
118,men associated with leadership role (the following list of names only includes men),Masculine,['key figures'],[14760]
119,men associated with physical labour,Masculine,"['a method of tying a horse that only requires one man', 'the whole structure being moved by one man', 'Men digging the trenches', 'men building piles of charcoal']","[57611, 57725, 58103, 58940]"
120,men providing for women,Multiple,"[""had been put forward by a group of prominent Scotsmen in March 1812. The fund would protect 'widows, sisters and other females' from poverty""]",[60584]
121,method named for man,Unclear,['Thomson'],[38349]
122,more information needed - did dexter fail or did publishers not want to publish her research?,Multiple,['Dexter failed to find a publisher for this research'],[21676]
123,"more information needed, but is she really young enough to be called a girl, or should she be a woman?",Multiple,['girl'],[53506]
124,"mother given a subordinate role in reproduction. non-biased alternative: ""they had a son""",Multiple,['with whom he had another son.'],[13876]
125,"mother given a subordinate role in reproduction. non-biased alternative: ""they had two sons""",Multiple,['with whom he had two sons'],[13862]
126,not sure if should be annotated,Multiple,"['Fatherless children', 'Two photographs - on the left, \'A Pretty Equestrienne\' shows a girl, Miss Ashton Wilson from Chicago with her horse; and on the right, \'A ""Woman Hater""\' shows a horse being trained for police work in London rearing up at the sight of dummies dressed as women in the early/mid 20th century']","[39451, 53503]"
127,observatory named after a women given new neutral name,Multiple,"['This roof-top pavilion was constructed in 1850 to the design of Marie Therese Short to house her Victorian optical instrument, and was originally called ""Short\'s Observatory"". Geddes bought the whole building in 1892 and changed the name to ""The Outlook Tower"".']",[26789]
128,"obstetrics (pregnancy, childrearing) had been skipped over even in subject entirely about giving birth - what on earth had midwifery covered before???",Multiple,"['Young was the first Professor of Midwifery at Edinburgh to actually lecture on the subject of obstetrics.', 'Young was the first Professor of Midwifery at Edinburgh to actually lecture on the subject of obstetrics.', 'Young was the first Professor of Midwifery at Edinburgh to actually lecture on the subject of obstetrics']","[28991, 29031, 29077]"
129,"occupation historically and grammatically gendered male associated with book learning, ownership of a library",Masculine,"[""a Minister's library""]",[2696]
130,only men included in list of relatives,Multiple,"['including her father, Friedrich Auerbach, grandfather, Leopold Auerbach, uncle, Felix Auerbach, and cousin']",[31924]
131,photograph description assumes unknown people identify as either men or women (only two genders),Multiple,"['men and women', 'African men and women', 'men and women', 'several men and women', 'men and women', 'men, women and children', 'a small group of men and women', 'a group of African men, women and children', 'men and women', 'a group of men and women', 'a group of men, women and children', 'young women and of young men', 'a group of young men and women']","[55401, 55971, 57096, 57107, 57816, 58148, 58179, 58380, 58859, 59613, 59978, 68268, 68473]"
132,photograph description assumes unknown person's gender (man and woman),Feminine,"['unidentified man and woman', 'a group of men with a woman', 'a woman and a man', 'a man and woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a woman and a man', 'a man and a woman', 'a man and a woman', 'a woman and a man', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a woman and of a man', 'a man and a woman', 'a man and a woman', 'a woman and man', 'a woman and man', 'a woman and man', 'two women and a man', 'two women and a man', 'a man and woman', 'a man and woman', 'a man, woman', 'a young woman and a man', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a man and a young woman', 'three men and a woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'a man and a woman', 'two men and a woman', 'a woman and a man']","[16176, 56450, 56624, 58250, 62936, 62941, 62986, 67860, 67895, 67898, 67905, 67913, 67917, 67921, 67962, 67966, 68130, 68144, 68147, 68150, 68197, 68201, 68375, 68378, 68385, 68434, 68477, 68484, 68488, 68492, 68504, 68507, 68524, 68580, 68683, 68687, 68691, 68695, 68764, 69063, 69290]"
133,photograph description assumes unknown person's gender (man and woman),Multiple,"['possibly a family of a mother, father, son and daughter', 'a woman and another man', 'man and woman', 'a small boy and a toddler girl', 'two women and a small boy', 'man and young woman', 'a group of men with a young woman, a boy', 'man and woman', 'man and woman', 'Two women and a boy', 'Man, woman and a boy', 'Woman and boy', 'Woman and boy', 'man and woman']","[58520, 58955, 62946, 68295, 68304, 68457, 68468, 68700, 69427, 70611, 70615, 70622, 72974, 76453]"
134,photograph description assumes unknown person's gender (man),Unclear,['showing a man'],[14279]
135,photograph description assumes unknown person's gender (man/men),Masculine,['unidentified males'],[14798]
136,photograph description assumes unknown person's gender (man/men),Unclear,['unidentified man'],[14682]
