,description,field,desc_id,label,eadid
5473,"Page mounted with photograph of the farm of F.C Evans in British Columbia, Canada, showing a man carrying two containers of eggs

",Title,713,"{'Stereotype', 'Generalization', 'Unknown'}",Coll-1057
11262,"Typescript titled ' The Poultry Research Centre of the Agricultural Research Council, 1947-1962: A Director's Story'

",Title,714,{'Occupation'},Coll-1057
5486,"Page of handwritten notes titled 'Missing Papers in D.J.G's collection'

",Title,715,{'Unknown'},Coll-1057
5923,"Photograph labelled 'My father Colin'

",Title,716,"{'Masculine', 'Gendered-Role', 'Omission'}",Coll-1057
5924,"Photograph labelled 'Uncle Alan and Uncle Ken'

",Title,717,"{'Masculine', 'Gendered-Role', 'Omission'}",Coll-1057
8452,"Sepia photograph of Alan Greenwood in soldier's uniform

",Title,718,"{'Occupation', 'Unknown'}",Coll-1057
2983,"Full-length photograph of Alan Greenwood outside a doorway, possibly of the Institute of Animal Genetics

",Title,719,{'Unknown'},Coll-1057
5484,"Page mounted with two photographs of Stefan Kopec, one with his daughter Maria

",Title,720,"{'Gendered-Pronoun', 'Stereotype', 'Masculine', 'Omission', 'Gendered-Role', 'Feminine'}",Coll-1057
5485,"Page mounted with two photographs of a hen-tailed cock and a hen with sickles and saddle hackles, together with a typed excerpt from a letter to Alan Greenwood from R. Scott Miller (10 January 1950)

",Title,721,"{'Masculine', 'Unknown'}",Coll-1057
5476,"Page mounted with signed photograph of 'Yazdi-Zadeh, Professor of Animal Husbandry, Teheran University, Persia'

",Title,722,"{'Occupation', 'Omission', 'Unknown'}",Coll-1057
5478,"Page mounted with two group photographs taken during Alan Greenwood's trip to America

",Title,723,"{'Masculine', 'Unknown'}",Coll-1057
5458,"Page mounted with five photographs from Alan Greenwood's trip to America

",Title,724,"{'Masculine', 'Unknown'}",Coll-1057
5480,"Page mounted with two photographs from Alan Greenwood's trip to America

",Title,725,"{'Masculine', 'Unknown'}",Coll-1057
5477,"Page mounted with three photographs from Alan Greenwood's trip to America

",Title,726,"{'Masculine', 'Unknown'}",Coll-1057
5459,"Page mounted with four photographs from Alan Greenwood's trip to America

",Title,727,"{'Masculine', 'Unknown'}",Coll-1057
5460,"Page mounted with photograph of Alan Greenwood cutting a cake, with H.H. Alp standing by

",Title,728,"{'Masculine', 'Unknown'}",Coll-1057
5461,"Page mounted with photograph of Alan Greenwood cutting cake with Cyril B. Hartman standing by

",Title,729,"{'Masculine', 'Unknown'}",Coll-1057
5462,"Page mounted with photograph of Alan Greenwood reading at his desk and holding a cigarette

",Title,730,"{'Gendered-Pronoun', 'Masculine'}",Coll-1057
5469,"Page mounted with photograph of John G. Campbell and William Bolton, injecting a chick in the laboratory

",Title,731,{'Unknown'},Coll-1057
5472,"Page mounted with photograph of the farm of F.C Evans in British Columbia, Canada, showing a man carrying two containers of eggs",Title,732,{'Unknown'},Coll-1057
5470,"Page mounted with photograph of Pauline Coldicott candling eggs

",Title,733,{'Unknown'},Coll-1057
5466,"Page mounted with photograph of Edith Cooper cleaning poultry cages

",Title,734,{'Unknown'},Coll-1057
5465,"Page mounted with photograph of Cathie Duncan feeding chickens

",Title,735,{'Unknown'},Coll-1057
5463,"Page mounted with photograph of Betty Ford holding a chicken

",Title,736,{'Unknown'},Coll-1057
5464,"Page mounted with photograph of C.K Yuan looking down a microscope

",Title,737,{'Unknown'},Coll-1057
5481,"Page mounted with two photographs of Alan Greenwood

",Title,738,"{'Masculine', 'Generalization', 'Unknown'}",Coll-1057
5456,"Page mounted with a photograph of Alan Greenwood holding a chicken, Miss Peace and 'visitors from the USSR'

",Title,739,"{'Omission', 'Gendered-Role', 'Unknown', 'Feminine'}",Coll-1057
5483,"Page mounted with two photographs of Alan Greenwood with visitors from Yugoslavia outside the Poultry Research Centre

",Title,740,"{'Masculine', 'Unknown'}",Coll-1057
5479,"Page mounted with two photographs and a copy of Greenwood's Fellow of the Poultry Science Association card

",Title,741,"{'Masculine', 'Stereotype', 'Omission', 'Unknown'}",Coll-1057
1573,"Blank page with 'Mr Evans' Farm' typed on the verso.

",Title,742,"{'Masculine', 'Gendered-Role', 'Omission'}",Coll-1057
5482,"Page mounted with two photographs of Alan Greenwood from the 10th World's Poultry Congress

",Title,743,"{'Masculine', 'Unknown'}",Coll-1057
10426,"The article is concerned with the death of a particularly high-producing hen, L1641, who equalled the world's record production of 1515 eggs during her lifetime. This appears to place the article after 1948.

",Scope and Contents,744,{'Gendered-Pronoun'},Coll-1057
8164,"Recto: photograph showing Alan Greenwood, Dr Fraps and Mrs Fraps on a bench in the garden of the Cosmos Club, Washington DC; photograph of an unidentified house, presumably where Greenwood was staying. Verso: two photographs of a house interior, presumably where Greenwood was staying.

",Scope and Contents,745,"{'Omission', 'Unknown', 'Feminine', 'Gendered-Role'}",Coll-1057
10596,"The first photograph depicts Ahmed Abd-El-Ghaffar Yousef Saleh in academic gown (annotated 'graduated PhD 1948, University of Edinburgh'); the second photograph depicts W. Marshall, R. Coles, F.Hutt and Alan Greenwood taken at the Conference of Poultry Instructresses for Scotland held at the Poultry Research Centre, 08-09 August 1950.

",Scope and Contents,746,"{'Stereotype', 'Occupation', 'Unknown'}",Coll-1057
8157,"Recto: photograph of Josephine Peace in Constant Temperature Room at the Poultry Research Centre; photograph of chickens in a pen (both November 1955). Verso: two photographs from a social event at the Institute of Animal Genetics: the first photograph shows Alick Buchanan-Smith, Hugh Donald, Charlotte Auerbach and Geoffrey Beale; the second photograph shows C.H Waddington, Helen Turner, Alan Greenwood and Eric Lucey. Pictures signed 'M.L.'

",Scope and Contents,747,{'Unknown'},Coll-1057
11143,"Title page annotated with Alan Greenwood's initials.

",Scope and Contents,748,{'Unknown'},Coll-1057
10798,"The title page notes: 'Address given by Dr Greenwood, DSc, PhD, in London on June 12th, 1946, at the first meeting of the Stock Improvement Congress, organised by the National Association of Poultry Breeders.'

",Scope and Contents,749,"{'Occupation', 'Omission', 'Unknown'}",Coll-1057
8141,"Recto: Alan Greenwood reading at a desk (1954); photograph of chickens being fed with an apple captioned 'Dr Greenwood tempts his Adam and Eves with an apple in the Climatic Chamber.' Verso: Dr Bolton in a laboratory coat, with a caption explaining that he is filling a 'bomb' with oxygen and measuring the pressure in a Bomb Calorimeter.

",Scope and Contents,750,"{'Gendered-Pronoun', 'Masculine', 'Omission'}",Coll-1057
8159,"Recto: photograph of a brick building under construction, with rows of poultry huts behind; photograph of three rows of poultry huts, with the corner of a brick building in shot. Verso: Alan Greenwood and Josephine Peace seated with five unidentified females outside the Poultry Research Centre; photograph of a single-storey stone building (possibly the building adjacent to Kellogg Hall, which once housed the ESCA Crop Production Advisory and Development Department).

",Scope and Contents,751,"{'Stereotype', 'Unknown', 'Omission', 'Masculine', 'Gendered-Role'}",Coll-1057
10822,"The volume lists the menus for various guest and staff lunches and dinners hosted at the British Empire Cancer Campaign Environment Unit. Guests include various key figures in the City and University of Edinburgh, including Edward Appleton, George L. Montgomery and Duncan M. Weatherstone, as well as academics and visitors from research institutions all over the world. The volume also contains various 'thank you' letters.  The volume is only half-filled.

",Scope and Contents,752,"{'Stereotype', 'Occupation', 'Unknown'}",Coll-1057
10712,"The memorandum appears to consist of two separate parts: the first being titled 'The Poultry Research Centre of the Agricultural Research Council 1947-1962: A Director's Story (compiled as memory serves, and perhaps as conscience dictates'; and the second a shorter summary of the Poultry Research Centre's involvement with the Agricultural Research Council (which begins with a W.H Auden quote beginning 'Thou shalt not worship Projects...'), together with a list of publications sorted by subject, a list of PRC staff, a short history titled 'The Animal Supply and Research Unit of the British Empire Cancer Campaign' and 'The Directors' Club'.

",Scope and Contents,753,"{'Occupation', 'Unknown'}",Coll-1057
5475,"Page mounted with seven photographs of Alan Greenwood at the Massachusetts Institute of Technology, February 1961

",Title,754,{'Unknown'},Coll-1057
2135,"Contains reprints of articles by Alan Greenwood, including those produced in collaboration with Janet S.S. Blyth and other collaborators.

",Scope and Contents,755,"{'Omission', 'Unknown'}",Coll-1057
11374,"Verso: print of a photograph showing the 10th World's Poultry Congress organising committee and others grouped around a table. The photograph is captioned: 'Mr Adair, Mr Chalmers-Watson, Mr Whittle, Alan Greenwood, J.E Wilson, Major MacDougall; Mr McCallum, Lady Elphinstone, Mr Glen, Mrs Campbell, Miss McLeod.' A second photograph appears to have been removed. Recto: invitation card to Alan Greenwood from the Government for dinner on 16 August 1954; invitation card to Alan Greenwood and his wife from the Lord, Provost, Magistrates and the City of Edinburgh to a garden party on 17 August 1954; invitation card to Alan Greenwood and wife from the University of Edinburgh to an evening reception on 18 August 1954.

",Scope and Contents,756,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Generalization', 'Occupation', 'Feminine'}",Coll-1057
2199,"Contains:'The Growth Rate in Hypophysectomised Salamander Larvae' by Alan Greenwood, reprinted from the British Journal of Experimental Biology, Vol. II (October 1924);'Biological Methods of Diagnosing Equine Pregnancy I. The Mouse Test' by W.C Miller and II. The Capon Test by A.W Greenwood and J.S.S Blyth, reprinted from the Proceedings of the Royal Society of London, Series B No. 798 vol. 116 pp. 237-258 (November 1934);Typescript titled 'Institute of Animal Genetics - Scientific Publications Relating to Poultry' (1922-1945);single page synopsis of Alan Greenwood's career (c.1967).

",Scope and Contents,757,"{'Masculine', 'Unknown'}",Coll-1057
632,"Album of postcards from Greenwood's trip to Canada, the USA and Mexico

",Title,758,{'Unknown'},Coll-1057
8156,"Recto: photograph of Dr Bolton at work in the Nutrition Laboratory of the Poultry Research Centre (the caption notes that he is the 1954 Tom Newman Memorial Prize Winner) and photograph of an unidentified female in the interior of one of the laying houses. The caption on the back reads 'Trap nesting the laying bird for accurate records of egg production.' Verso: a card with information about Parliament Hall and the Upper Hall of the Signet Library; Alan Greenwood's ticket for the opening of the 10th World's Poultry Congress Exhibition, Edinburgh (14 August 1954).

",Scope and Contents,759,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Omission', 'Masculine', 'Gendered-Role'}",Coll-1057
8170,"Recto: three photographs of Alan Greenwood giving a lecture; one photograph of Alan Greenwood and three unidentified individuals in a street. Verso: two close-up photographs of Alan Greenwood seated at a desk; photograph of Alan Greenwood seated at the head of table at a dinner party. The back of the photograph is captioned 'Kosher dinner with the Goldbliths - obviously not too pleased with American wine.'

",Scope and Contents,760,"{'Omission', 'Masculine', 'Unknown'}",Coll-1057
8153,"Recto: photograph of Alan Greenwood, Fred Beeson and A. Dalrymple at the farm of F.C Evans, British Columbia, Canada (1949). Verso: photograph of a seated group outside a building, showing F.A.E Crew and D'Arcy Wentworth Thompson among other unidentified individuals; photograph of a standing group dressed in black tie attire, including F.A.E Crew, Helen Crew and Alan Greenwood among other unidentified individuals, possibly outside the Institute of Animal Genetics. The back of the photograph is annotated 'T.B Macaulay, 1930?'  Both photographs are undated, but are most likely from the 1930s.

",Scope and Contents,761,"{'Omission', 'Masculine', 'Unknown'}",Coll-1057
8148,"Recto: large group photograph with the annotation 'Newman Award to Dr. Horton-Smith, Mansion House, November 1952'. Verso: Colour photograph of an unidentified man in academic gown outside a building, possibly McEwan Hall, Edinburgh (undated).

",Scope and Contents,762,"{'Stereotype', 'Omission', 'Unknown', 'Generalization'}",Coll-1057
1743,"Caption reads: 'Professor F.A.E Crew Presentation Portrait.' This could possibly date from around 1947, when Crew resigned the directorship of the Institute in order to take up the Chair in Public Health and Social Medicine.

",Scope and Contents,763,"{'Occupation', 'Unknown'}",Coll-1057
2204,"Contains:Poultry Research Centre reports and associated papers (1942-1964);correspondence (1934-1984);Poultry Research Centre Visitors Book (1947-1964);Visitors Book listing 'visitors entertained at the B.E.C.C Environment Unit, Bush Estate' (1963-1968);assortment of newspaper clippings, articles, correspondence, photographs and papers relating to events (1927-1957);typescript of Alan Greenwood's memorandum 'The Poultry Research Centre of the Agricultural Research Council 1947-1962: A Director's Story' (1968-1985).",Scope and Contents,764,"{'Occupation', 'Omission', 'Unknown'}",Coll-1057
2158,"Contains: Animal Breeding Research Department annual reports 1926-1928 (2 reports); letter from F.A.E Crew to the University of Melbourne recommending Greenwood to the degree of DSc, including bibliography of research work (October 1930); three menus from the Cunard shipping company (January 1931); press cuttings concerning the Keith and Neil Prizes (1932); article about the Harper Adams conference (August 1933); reprint of article 'Edinburgh' by J. Russell Greig from The Veterinary Record, 02 June 1934; correspondence concerning Greenwood's talk 'Outback' for the BBC, including script (1935-1936).

",Scope and Contents,765,"{'Omission', 'Masculine', 'Unknown'}",Coll-1057
3040,"Greenwood served with the Australian Imperial Forces from 1915 to 1919, so it is most likely that this photograph dates from this period.

",Scope and Contents,766,{'Unknown'},Coll-1057
8165,"Recto: photograph showing two female workers pedigreeing a hatch of chicks; photograph showing some poultry cages captioned 'Sun Porch.' Verso: photograph showing the interior of a poultry house with unidentified female worker in the background; photograph depicting a section of a laboratory.

",Scope and Contents,767,"{'Stereotype', 'Omission', 'Gendered-Role'}",Coll-1057
5949,"Photograph of Alan Greenwood and his wife; photograph of Professor R. George Jaap of Ohio State University, who spent one year (1951-1952) at the Poultry Research Centre under a Fulbright Award; photograph of R. George Jaap's wife Edna.

",Scope and Contents,768,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Feminine'}",Coll-1057
8167,"Recto: photographs removed. Verso: photograph of a section of a laboratory; photograph of Ishbel Paterson holding a cockerel with Dr Lake looking down a microscope. The caption on the back of the photograph reads: 'A microscopical examination of cock semen as a preliminary test of fertility.'

",Scope and Contents,769,"{'Omission', 'Unknown'}",Coll-1057
744,"Annotation reads: '1949: Mr C.K Yuan, graduate of the Central University of China, Nanking, PhD student at the Centre. Graduated PhD, Edinburgh, July 1950.'",Scope and Contents,770,"{'Masculine', 'Gendered-Role'}",Coll-1057
3037,"Greenwood begins the memorandum by describing his training and qualifications and outlining research methods. He then goes on to summarise the published and unpublished papers and investigations completed at the Institute of Animal Genetics, both alone and with colleagues. Contains some handwritten annotations.

",Scope and Contents,771,"{'Masculine', 'Omission', 'Gendered-Pronoun'}",Coll-1057
10454,"The caption notes that Yazdi-Zadeh was a guest at the Poultry Research Centre in January to February 1952.

",Scope and Contents,772,"{'Omission', 'Unknown'}",Coll-1057
1741,"Caption reads: 'Dr Greenwood cutting Egg Solids Cake watched by Cyril B. Hartman.'

",Scope and Contents,773,"{'Masculine', 'Omission', 'Unknown'}",Coll-1057
2139,"Contains signatures and addresses from visitors to the Poultry Research Centre, as well as pages dedicated to the attendees of particular events, such as Poultry Research Centre 'Christening Party' (1950). There are signatures by academics from universities and institutions around the world, key figures at the University of Edinburgh such as Edward Appleton and J. Russell Greig, and politicians such as Denzil Freeth, Michael Clark Hutchison and Herbert Morrison. The volume also contains menu cards for four dinners, including a Royal Society dinner at the Poultry Research Centre (1954) and the 18th Directors' Club dinner (1960). The book is only partially filled.

",Scope and Contents,774,"{'Stereotype', 'Occupation', 'Unknown'}",Coll-1057
8150,"Recto: photograph of Alan Greenwood on a podium captioned: 'Dr A.W. Greenwood summing up papers given on Genetics etc at end of Xth World's Poultry Congress 1954.' Verso: small photograph of Alan Greenwood, an unidentified female, possibly Joy Edge, and two unidentified males standing next to a car (undated).

",Scope and Contents,775,"{'Stereotype', 'Unknown', 'Omission', 'Masculine', 'Gendered-Role', 'Feminine'}",Coll-1057
656,"Also contains a joint paper by Alan Greenwood and J.G Carr.

",Scope and Contents,776,"{'Masculine', 'Unknown'}",Coll-1057
8158,"Recto: photograph of a bedroom and of a portion of a staircase. Verso: captioned 'New Poultry Research Centre in course of erection, Autumn 1949', with photographs not present. This house is possibly where Alan Greenwood was staying on his trip to America.

",Scope and Contents,777,"{'Gendered-Pronoun', 'Masculine'}",Coll-1057
10804,"The typescript appears to be a draft, and includes some corrections. The memorandum is accompanied by Greenwood's CV (annotated 'Not for Publication - Property of the AFRC Poultry Research Centre') accompanied by a letter from Alan H. Sykes to Josephine Greenwood (25 July 1985) requesting to see the memorandum (with Greenwood's reply on the back of the letter).

",Scope and Contents,778,"{'Masculine', 'Omission', 'Unknown'}",Coll-1057
10920,"This paper is a summary of a paper read by Alan Greenwood at the West of Scotland Agricultural College Poultry Conference, Auchincruive, 29 May 1953. The top right hand corner of the page is missing.

",Scope and Contents,779,"{'Masculine', 'Unknown'}",Coll-1057
2207,"Contains:typescript bibliography entitled 'Hormone Studies on the Fowl', listing publications by Greenwood and co-workers for the period 1925-1942;typescript showing three tables of data relating to poultry experiments for the period 1929-1947;handwritten page chronologically listing the arrivals and departures of staff at the Poultry Research Centre for the period 1947-1949;typescript titled 'Work and Publications of PRC July 1949-July 1950';last page of a typescript bibliography apparently detailing Poultry Research Centre publications, lectures and broadcasts (c.1950);handwritten page listing the number of guests at and costs of annual dinners for the period 1942-1951;typescript stamped 'Confidential' and titled 'Poultry Research Centre, Edinburgh: Report of the Visiting Group [from the Agricultural Research Council] 1959';typescript titled 'The Director's Memorandum on Second Year's Progress Following the Report of the Visiting Group to the Poultry Research Centre in 1959', which includes a list of staff 'papers published and in press' for the year 1961;list of professional staff at the Animal Supply and Research Unit of the British Empire Cancer Campaign and at the Poultry Research Centre itself, and a list of postgraduate degrees, awards and distinctions gained by members of staff and research students (c.1961);photocopied typescript of an index to Greenwood's publications for the period 1929-1964;two hand-drawn graphs showing percentage and causes of mortality in survivors [presumably poultry] over six years (nd).

",Scope and Contents,780,"{'Masculine', 'Omission', 'Unknown', 'Occupation'}",Coll-1057
8151,"Recto: photograph of Alan Greenwood talking to 'visitors from the USSR' at the back of the Poultry Research Centre. Verso: group photograph in formal attire from the Founders Day at the Rowett Institute (October 1957), including: Alan Greenwood, H.P Donald, Maitland Mackie, J.J Astor, MP and George Stephen, Provost of Aberdeen.

",Scope and Contents,781,"{'Occupation', 'Masculine', 'Unknown'}",Coll-1057
8172,"Recto: two photographs of a house interior showing an office and a glass cabinet of shells. Verso: two photographs showing a bureau with a clock on top and a bedroom with a Dalmatian dog on top of the bed. This house is possibly where Alan Greenwood was staying on his trip to America.

",Scope and Contents,782,"{'Gendered-Pronoun', 'Masculine'}",Coll-1057
8577,"Spine reads 'Reprints and papers' and fly leaf is inscribed with Alan Greenwood's signature. Contains 10 papers:'Breeding: Science and Practice: Address to National Association of Poultry Breeders, 12 June 1946';'Poultry Research in Scotland: for Central Office of Information, London for 'British Ally' - published by H.M Govt. in Soviet Union, October 1947';'Science and the Breeding of Poultry: talk given at the conference of Poultry Instructors under the auspices of the Department of Agriculture, Eire, on 30 October 1947 at the Veterinary College, Ballsbridge, Dublin';'Is the 2oz Egg Too Large as a Commercial Standard? The Geneticists Point of View: paper read at the National Association of Poultry Breeders Conference, Blackpool, 14 July 1948';'Poultry Mortality: overseas broadcast, 12 January 1949''Land and Livestock: overseas broadcast, 25 January 1949';'A Hen to be Proud Of': reprinted from The Countryman, Spring 1949';'Endocrinology and the Fowl: paper read at the National Association of Poultry Breeders Conference, Cirencester, 20 April 1949';'Genetics and Animal Nutrition: Nutrition Society (Scottish Gp) at R.D.V.C 23 April 1949';copy of 'Agriculture Overseas: Report No. 6: Development of the Poultry Industry in North America' (1947).

",Scope and Contents,783,"{'Occupation', 'Masculine', 'Unknown', 'Generalization'}",Coll-1057
10753,"The photograph is captioned: 'Dr Blount, Mr Cyril Thornber, Dr Greenwood, Miss McLeod, Dr Coles, Major Milne, Mr Martin and Colonel Smith.'

",Scope and Contents,784,"{'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Feminine'}",Coll-1057
7693,"Photograph of two single-story buildings in a field; photograph of Alan Greenwood outside some buildings (possibly Kellogg Hall at the Easter Bush sub-station)

",Scope and Contents,785,"{'Masculine', 'Unknown'}",Coll-1057
10800,"The two photographs show Ruth Lerner digging the first sod of the Poultry Research Centre site at King's Buildings on 08 December 1948, with Alan Greenwood and crowd standing by. The caption notes that Ruth Lerner 'of Berkeley, California', is the 'wife of Professor I. Michael Lerner'.

",Scope and Contents,786,"{'Stereotype', 'Unknown', 'Masculine', 'Gendered-Role', 'Feminine'}",Coll-1057
8171,"Recto: two photographs of Ruth Lerner digging the first sod of the Poultry Research Centre site at King's Buildings, 08 December 1948.  Verso: photograph of Joy Edge in laboratory, captioned: 'Miss Joy Edge, former member of staff, now with the Blood Transfusion Service, Canada.'

",Scope and Contents,787,"{'Gendered-Role', 'Unknown', 'Feminine'}",Coll-1057
2205,"Contains:notebook detailing various poultry experiments for the period 1925-1929 (c.1929);a typescript titled 'Memorandum regarding poultry research in the Institute of Animal Genetics, Edinburgh', by Alan Greenwood (1934);two typescript copies of the Institute of Animal Genetics Report for the Year 1943-1944 (1944);bound typescript titled 'Institute of Animal Genetics - Publications 1920-1942';a typescript copy of 'The Institute of Animal Genetics at Edinburgh: the first twenty years' by Margaret Deacon (c.1971).

",Scope and Contents,788,"{'Masculine', 'Unknown'}",Coll-1057
8544,"Small sepia oval photograph, mounted on card, of a young boy in a white smock. It appears that the card mount has been trimmed unevenly to a smaller size.

",Scope and Contents,789,"{'Stereotype', 'Omission', 'Generalization'}",Coll-1057
8163,"Recto: photograph ofJosephine Peace captioned 'Holding one of four sister hens in the Brown Leghorn flock which have laid an average of 340 egss in 6-8 weeks.' It appears that a photograph of Alan Greenwood has been removed from the page, as a caption reads: 'Dr A.W. Greenwood, director of the PRC, and founder of the noted flock of Brown Leghorns started in 1928.' Verso: photograph of Alan Greenwood and two unidentified men; photograph of Alan Greenwood, J.E Wilson and two unidentified men at a drinks party, marked Evening Dispatch (back of the photograph annotated 'Adam Rooms BOCM 2/10/57').

",Scope and Contents,790,"{'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Occupation'}",Coll-1057
10719,"The newspaper cutting is under the headline 'He Wins Neill Prize' about Robert Osborne of the Poultry Research Centre being awarded the Neill Prize by James Ritchie for his contributions to the knowledge of the domestic fowl (Edinburgh Evening News, December 1956). The photograph shows Miss Peace, Dr Blyth, Alan Totty and Miss Wilson sitting on a bench between two plants (picture signed 'M.L 1954').

",Scope and Contents,791,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Feminine'}",Coll-1057
8152,"Recto: photograph of Alan Greenwood with the Lord Provost of Edinburgh, Duncan Weatherstone, and his wife and daughter; photograph of Alan Greenwood with Professor Sewall Wright and Mrs Toby Carter, both pictures taken at a barbeque at Easter Bush for the Congress on 10 August 1963. Verso: Alan Greenwood with Jim Wilson, Professor Alex Robertson and his daughter at a barbeque at Bush for the Congress on 10 August 1963; photograph of Alan Greenwood seated at a dinner table talking to Lady Mellanby at the official banquet of the Congress on 13 August 1963.

",Scope and Contents,792,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Occupation', 'Feminine'}",Coll-1057
8142,"Recto: Alan Greenwood with Dr L. Kaufman and Dr Grjewski, from Poland; photograph of Kaufman and Grjewski on Lothian Road, Edinburgh. Verso: photograph of Kaufman and two unidentified individuals sitting on a bench; photograph of Kaufman, Alan Greenwood and Grjewski standing outside the Poultry Research Centre. Both pictures signed on the back 'M.L'.

",Scope and Contents,793,"{'Omission', 'Masculine', 'Unknown'}",Coll-1057
5427,"One menu is from the Royal Society Dining Club, which dined at the Poultry Research Centre on 04 June 1951; the second menu is from the Directors' Dinner, 24 October 1951.

",Scope and Contents,794,{'Occupation'},Coll-1057
1960,"Colour photograph of Dr Mary Juhn '(Mrs R. Fraps)' with dog, in Beltsville, Maryland (USA); signed photograph of Ganpati Sharma ('MSc, PhD Bombay, graduated PhD Edinburgh November 1947'); photograph of Alan Greenwood with Pauline Coldicott at Refresher Course, Cirencester, April 1949.

",Scope and Contents,795,"{'Masculine', 'Gendered-Role', 'Unknown', 'Feminine'}",Coll-1057
6297,"Photograph of Dr W. Siller dissecting a chicken; photograph of Professor Kushner shaking hands with Alan Greenwood in an office (the back of the photograph is addressed to Greenwood from Kushner).

",Scope and Contents,796,"{'Masculine', 'Omission', 'Unknown'}",Coll-1057
8545,"Small sepia oval photograph, mounted on card, of two young boys. It appears thst the card mount has been trimmed unevenly to a smaller size.

",Scope and Contents,797,"{'Stereotype', 'Omission', 'Generalization'}",Coll-1057
8160,"Recto: photograph of the Institute of Animal Genetics building, with the Poultry Research Centre in background; photograph of a woman, captioned 'Evelyn' and dog 'Pip' lying on grass. Verso: sepia photograph of Alan Greenwood, A. Dods, W. Smith and two unidentified men in Home Guard uniform standing in front of a line of cars outside the Institute of Animal Genetics, annotated 'K.B [King's Buildings] Home Guard (Transport)'; group photograph labelled 'K.B Home Guard', possibly outside the Chemistry Building on the King's Buildings site.

",Scope and Contents,798,"{'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Generalization', 'Gendered-Role', 'Feminine'}",Coll-1057
8149,"Recto: photograph of 6.5 to 7.5-week old chickens in an environmentally controlled room at the Poultry Research Centre; photograph of one of the control lines in the Brown Leghorn flock. Verso: copy of Alan Greenwood's Fellow's card from the Poultry Science Association, dated 06 August 1959.
",Scope and Contents,799,"{'Masculine', 'Unknown'}",Coll-1057
8154,"Recto: photograph of B.M. Slizynski, Helen Slizynska, Dr Kaufman, Dr Grjewski, Dr Blyth outside the Institute of Animal Genetics building; photograph of Dr P.E Lake looking down a microscope and Miss Ishbel Paterson holding a cockerel. Verso: photograph of Alan Greenwood with James Ritchie and R.C Fisher at a desk, taken at a meeting of the Royal Society of Edinburgh (picture credited to Edinburgh Evening News); photograph of Alan Greenwood seated on a bench between two plants (signed on the back 'M.L. 1954) in the foyer of the Poultry Research Centre.

",Scope and Contents,800,"{'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Feminine'}",Coll-1057
8162,"Recto: photograph of unidentified man; photograph of Alan Greenwood and F.A.E Crew; photograph of Alan Greenwood, F.A.E Crew and J.E Wilson with two unidentified men, outside a building. Verso: Two photographs of the Institute of Animal Genetics building under snow. The photographs are undated, but are likely to date from before the Second World War, when Crew and Greenwood were both still based at the Institute of Animal Genetics.

",Scope and Contents,801,"{'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Generalization', 'Gendered-Role'}",Coll-1057
10597,"The first photograph shows 'Mr Lake, a physiologist', and an assistant withdrawing a blood sample from a cockerel; the second photograph depicts rows of poultry cages and is labelled 'Sun Porch.'

",Scope and Contents,802,"{'Masculine', 'Gendered-Role', 'Omission', 'Occupation'}",Coll-1057
2165,"Contains: a birthday poem to Josephine Peace from Ruth and Michael Lerner (March 1949); a poem titled 'Words and Consequences' addressed to E.H.E Havelock (October 1949); typescript of interview between Greenwood and J.G Penny for 'Farm Forum' (December 1949); reminscences of Greenwood and Russell Greig's tour of Germany (March 1949); report of Greenwood's visit to Canada and the USA (August-September 1949); typescript titled 'Cancer Research in Poultry' and various newspaper clippings.

",Scope and Contents,803,"{'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Feminine'}",Coll-1057
